,Unnamed: 0,Id,Bus_Route_Name,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
0,0,1,Bangalore To Chennai,KBS Travels,A/C Sleeper (2+1),21:00,06h 00m,3:00,4.7,600.0,22 Seats available
1,1,2,Chennai To Madurai,Krs travels,NON A/C Sleeper (2+1),22:30,08h 30m,7:00,4.1,750.0,25 Seats available
2,2,3,Chennai To Madurai,Yolo Bus,NON A/C Seater/ Sleeper (2+1),22:05,08h 19m,6:24,4.0,400.0,28 Seats available
3,3,4,Chennai To Madurai,Finch travels,A/C Sleeper (2+1),2:05,06h 50m,8:55,4.1,900.0,21 Seats available
4,4,5,Chennai To Madurai,Selva Murugan Travels,Non A/C Seater / Sleeper (2+1),20:30,09h 30m,6:00,3.9,399.0,19 Seats available
5,5,6,Chennai To Madurai,THIRU Travels,NON A/C Sleeper (2+1),21:40,09h 05m,6:45,4.0,799.0,22 Seats available
6,6,7,Chennai To Madurai,Tippusultan Travels,Non A/C Seater / Sleeper (2+1),21:30,07h 40m,5:10,4.2,700.0,31 Seats available
7,7,8,Chennai To Madurai,AaRa Travels,A/C Sleeper (2+1),23:25,08h 25m,7:50,4.0,760.0,18 Seats available
8,8,9,Bangalore To Chennai,RKK Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),6:15,06h 00m,12:15,4.2,595.0,25 Seats available
9,9,10,Chennai To Madurai,Chandraprakash Bus Service,A/C Sleeper (2+1),20:30,08h 15m,4:45,4.6,1101.0,29 Seats available
10,10,11,Chennai To Madurai,YBM Travels(BLM),A/C Sleeper (2+1),20:45,07h 15m,4:00,4.4,1101.0,13 Seats available
11,11,12,Chennai To Madurai,Luxe Xpress,A/C Sleeper (2+1),22:20,08h 45m,7:05,4.5,900.0,18 Seats available
12,12,13,Chennai To Madurai,National Travels CHN,Bharat Benz A/C Seater /Sleeper (2+1),20:05,08h 05m,4:10,4.3,750.0,23 Seats available
13,13,14,Chennai To Madurai,Vignesh TAT,A/C Sleeper (2+1),20:25,08h 50m,5:15,4.0,849.0,23 Seats available
14,14,15,Chennai To Madurai,VKV Travels,A/C Sleeper (2+1),23:45,07h 05m,6:50,4.1,1290.0,25 Seats available
15,15,16,Bangalore To Chennai,NueGo,Electric A/C Seater/Sleeper (2+1),13:00,07h 45m,20:45,4.0,400.0,35 Seats available
16,16,17,Bangalore To Chennai,Streamline tours and travels,Bharat Benz A/C Sleeper (2+1),22:15,06h 45m,5:00,4.0,899.0,24 Seats available
17,17,18,Bangalore To Chennai,Vetri Travels,A/C Sleeper (2+1),23:30,05h 45m,5:15,3.2,555.0,30 Seats available
18,18,19,Bangalore To Chennai,IntrCity SmartBus,AC Sleeper (2+1),22:20,07h 10m,5:30,3.9,689.0,20 Seats available
19,19,20,Bangalore To Chennai,NueGo,Electric A/C Seater/Sleeper (2+1),7:00,07h 15m,14:15,3.9,400.0,21 Seats available
20,20,21,Bangalore To Chennai,Sri Sugam Bus Tours and Travels,A/C Sleeper (2+1),19:10,06h 20m,1:30,3.9,749.0,26 Seats available
21,21,22,Bangalore To Chennai,DLT BUS,A/C Sleeper (2+1),23:45,06h 30m,6:15,3.9,600.0,25 Seats available
22,22,23,Bangalore To Chennai,NATIONAL TRAVELS NTA,Mercedes Benz A/C Sleeper (2+1),14:25,07h 20m,21:45,3.9,545.0,20 Seats available
23,23,24,Bangalore To Chennai,Jabbar Travels,A/C Sleeper (2+1),23:20,05h 40m,5:00,3.8,600.0,26 Seats available
24,24,25,Bangalore To Chennai,NATIONAL TRAVELS NTA,Mercedes Benz A/C Sleeper (2+1),22:45,06h 55m,5:40,3.8,550.0,25 Seats available
25,25,26,Bangalore To Chennai,NueGo,Electric A/C Seater (2+2),12:00,07h 45m,19:45,4.7,380.0,37 Seats available
26,26,27,Bangalore To Chennai,Parveen Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),5:25,05h 30m,10:55,3.8,900.0,26 Seats available
27,27,28,Chennai To Madurai,YBM Travels(BLM),Mercedes Benz Multi-Axle A/C Sleeper (2+1),22:30,08h 00m,6:30,3.8,900.0,27 Seats available
28,28,29,Bangalore To Chennai,NueGo,Electric A/C Seater (2+2),6:00,06h 55m,12:55,4.3,380.0,33 Seats available
29,29,30,Chennai To Madurai,Lucky travels (lucky kitta),NON A/C Sleeper (2+1),23:00,08h 30m,7:30,3.9,699.0,18 Seats available
30,30,31,Bangalore To Chennai,Alaguthangam Travels,A/C Sleeper (2+1),22:15,06h 05m,4:20,3.7,699.0,22 Seats available
31,31,32,Bangalore To Chennai,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),23:59,06h 07m,6:06,4.0,450.0,32 Seats available
32,32,33,Chennai To Madurai,Ismail Lucky Travels,A/C Sleeper (2+1),22:00,07h 45m,5:45,3.9,747.0,9 Seats available
33,33,34,Bangalore To Chennai,SPT Tours and Travels,A/C Sleeper (2+1),21:45,07h 00m,4:45,4.0,599.0,20 Seats available
34,34,35,Chennai To Madurai,Yolo Bus,A/C Sleeper (2+1),21:39,09h 07m,6:46,4.1,570.0,22 Seats available
35,35,36,Bangalore To Chennai,Jabbar Travels,NON AC Seater / Sleeper 2+1,23:30,06h 00m,5:30,3.6,350.0,24 Seats available
36,36,37,Chennai To Madurai,Amarnath travels,NON A/C Sleeper (2+1),19:55,09h 05m,5:00,4.0,500.0,19 Seats available
37,37,38,Bangalore To Chennai,Parveen Travels,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),16:45,06h 05m,22:50,3.7,700.0,29 Seats available
38,38,39,Bangalore To Chennai,Thirumalaivasan Transports,Bharat Benz A/C Sleeper (2+1),17:59,06h 36m,0:35,3.7,700.0,19 Seats available
39,39,40,Chennai To Madurai,BLUE BIRDS TRAVELS,A/C Sleeper (2+1),10:30,08h 00m,18:30,4.2,910.0,22 Seats available
40,40,41,Bangalore To Chennai,Yolo Bus,A/C Sleeper (2+1),23:59,06h 39m,6:38,3.7,550.0,28 Seats available
41,41,42,Bangalore To Chennai,Royal Travels,A/C Sleeper (2+1),23:00,06h 30m,5:30,3.6,800.0,28 Seats available
42,42,43,Bangalore To Chennai,Swamy Ayyappa Travels,A/C Sleeper (2+1),23:30,05h 30m,5:00,3.8,800.0,16 Seats available
43,43,44,Chennai To Madurai,Hari Balaji Transport,Non A/C Seater / Sleeper (2+1),20:45,08h 15m,5:00,4.5,599.0,26 Seats available
44,44,45,Bangalore To Chennai,DLT BUS,A/C Sleeper (2+1),22:30,06h 30m,5:00,4.1,899.0,10 Seats available
45,45,46,Chennai To Madurai,Lucky travels (lucky kitta),NON A/C Sleeper (2+1),21:00,09h 00m,6:00,3.8,550.0,18 Seats available
46,46,47,Bangalore To Chennai,Yolo Bus,Bharat Benz A/C Sleeper (2+1),23:40,06h 29m,6:09,3.6,550.0,26 Seats available
47,47,48,Chennai To Madurai,Madurai Pandian Travels,A/C Sleeper (2+1),22:45,08h 45m,7:30,4.1,649.0,27 Seats available
48,48,49,Bangalore To Chennai,NueGo,Electric A/C Seater (2+2),15:00,07h 25m,22:25,4.1,400.0,38 Seats available
49,49,50,Bangalore To Chennai,GRS Travels,A/C Sleeper (2+1),22:00,07h 00m,5:00,4.6,700.0,22 Seats available
50,50,51,Bangalore To Chennai,Asian Xpress,Bharat Benz A/C Semi Sleeper (2+2),22:05,06h 55m,5:00,4.3,450.0,27 Seats available
51,51,52,Chennai To Madurai,GKR TRAVELS,NON A/C Sleeper (2+1),20:15,08h 15m,4:30,4.0,850.0,29 Seats available
52,52,53,Bangalore To Chennai,National travels,NON A/C Sleeper (2+1),23:00,06h 50m,5:50,3.5,450.0,35 Seats available
53,53,54,Chennai To Madurai,GKR TRAVELS,NON AC Seater / Sleeper 2+1,19:45,08h 30m,4:15,3.8,500.0,29 Seats available
54,54,55,Bangalore To Chennai,National travels,NON AC Seater / Sleeper 2+1,23:40,06h 40m,6:20,3.5,333.0,38 Seats available
55,55,56,Chennai To Madurai,AATHIYAPPANTRAVELS,A/C Seater / Sleeper (2+1),18:30,08h 00m,2:30,3.4,699.0,31 Seats available
56,56,57,Bangalore To Chennai,Go Link,A/C Sleeper (2+1),21:50,06h 45m,4:35,3.4,700.0,29 Seats available
57,57,58,Chennai To Madurai,Sri Sms Travels,Non A/C Seater / Sleeper (2+1),19:00,08h 15m,3:15,3.9,449.0,33 Seats available
58,58,59,Bangalore To Chennai,NueGo,Electric A/C Seater/Sleeper (2+1),17:30,07h 25m,0:55,3.9,400.0,36 Seats available
